Matricula,Pos_date
4B4758B62B9D82CA301A29C665846D8E4ABCA306D1384720183FFC279252E8EE,01/12/2023 02:13:23
2AAAF131A0E7ABB23D076B1EBB444BCECE83D3233F265BB7387B69A85C7DA84D,01/12/2023 02:13:22
A14E8BE45CB9F9B1B8F8BFBED680BCFE79912B7C935C4B9D80F36FCAEC9F3A48,01/12/2023 02:13:21
A14E8BE45CB9F9B1B8F8BFBED680BCFE79912B7C935C4B9D80F36FCAEC9F3A48,01/12/2023 02:13:21
19CB2C27AEA2A6C6C4DBAAB759FC3A4D6FC7A80E197BBA6B9814F7F04708C407,01/12/2023 02:13:21
9EA75D576149F526833F7F0CAFBFBD2DC701213D1D0C584D073D35F341947388,01/12/2023 02:13:21
679E1E2CF2BC6497342347D4B137CD3DC0C80EAF38A97781ADB848F40E7923FB,01/12/2023 02:13:20
3F2BF0F9BC0EDF81585748F2BB7A9277D3ABDF4C4987EE6E7F096A42B1549327,01/12/2023 02:13:19
4CD8D96089ECF07CC668FB8A805D6088E400A136E696D0608323C332DBD949D8,01/12/2023 02:13:15
B376D69E11972366C72E37CBE81B7693F0A20F60788484249732048A390468A6,01/12/2023 02:13:11
1ED85AD5FE9A0543216F4472E689944A7AE066A584B7A2B7E9ED1FD13DF72479,01/12/2023 02:13:09
07F0F06AFDDE789E75C987F1E8AF8E5F48E72512AD4FC4FBD22D89D19D0618BC,01/12/2023 02:13:07
184DBED595C6F20AB530A4BE4CBCF519BB96DD91510E147A00E67492DBD8EDE6,01/12/2023 02:13:04
E0047EE446AB648BEA8D01836B0FBDBA466C8C19A4EFA5788990BB1D505D5919,01/12/2023 02:13:02
679894276A1A15836A4517559DE4C780456B019AEABB4FBF9E878A1EEB665D57,01/12/2023 02:13:01
19CB2C27AEA2A6C6C4DBAAB759FC3A4D6FC7A80E197BBA6B9814F7F04708C407,01/12/2023 02:13:01
E9D8202FBEF52727BC67129BD6FC9DE7B287E32CB5AAEC3F3995640AD3ECE32E,01/12/2023 02:12:59
2AAAF131A0E7ABB23D076B1EBB444BCECE83D3233F265BB7387B69A85C7DA84D,01/12/2023 02:12:55
2AAAF131A0E7ABB23D076B1EBB444BCECE83D3233F265BB7387B69A85C7DA84D,01/12/2023 02:12:55
